App,Rating,Reviews,Size,Installs (more than),Type,Price,Content Rating,Genres,Last Updated,Android Ver
Zombie Catchers,4.7,990723,75.0,10000000,Free,0.0,Everyone,Action,2018-05-24,4.1 and up
Magic Tiles 3,4.5,592504,,50000000,Free,0.0,Everyone,Music,2018-08-03,4.1 and up
Jewels Star: OZ adventure,4.5,21892,14.0,1000000,Free,0.0,Everyone,Puzzle,2017-12-29,4.0 and up
Granny,4.5,1138239,59.0,50000000,Free,0.0,Teen,Arcade,2018-05-29,4.0 and up
Dream League Soccer 2018,4.6,9883806,74.0,100000000,Free,0.0,Everyone,Sports,2018-07-16,4.4 and up
Sweet Fruit Candy,4.5,197540,29.0,10000000,Free,0.0,Everyone,Puzzle,2018-07-16,4.1 and up
Fruits Bomb,4.4,74695,17.0,10000000,Free,0.0,Everyone,Casual,2018-07-06,4.0.3 and up
Angry Birds Classic,4.4,5566889,97.0,100000000,Free,0.0,Everyone,Arcade,2018-05-24,4.1 and up
Talking Tom Gold Run,4.6,2698882,78.0,100000000,Free,0.0,Everyone,Action,2018-07-31,4.1 and up
Bowmasters,4.7,1535973,,50000000,Free,0.0,Teen,Action,2018-07-23,4.1 and up
My Talking Tom,4.5,14892469,,500000000,Free,0.0,Everyone,Casual,2018-07-19,4.1 and up
Hill Climb Racing,4.4,8923818,63.0,100000000,Free,0.0,Everyone,Racing,2018-07-02,4.2 and up
Sniper 3D Gun Shooter: Free Shooting Games - FPS,4.6,7674252,,100000000,Free,0.0,Mature 17+,Action,2018-08-02,Varies with device
Pixel Art: Color by Number Game,4.7,1125438,25.0,10000000,Free,0.0,Everyone,Puzzle,2018-07-17,4.3 and up
Shoot Bubble - Fruit Splash,4.6,29445,29.0,5000000,Free,0.0,Everyone,Casual,2018-05-11,4.0.3 and up
Rider,4.5,655145,72.0,10000000,Free,0.0,Teen,Arcade,2017-07-17,4.0.3 and up
Zombie Tsunami,4.4,4921451,,100000000,Free,0.0,Everyone 10+,Arcade,2018-06-15,Varies with device
Garena Free Fire,4.5,5476569,53.0,100000000,Free,0.0,Teen,Action,2018-08-03,4.0.3 and up
Doodle Jump,4.3,1083571,,50000000,Free,0.0,Everyone,Arcade,2018-07-20,Varies with device
Subway Surfers,4.5,27725352,76.0,1000000000,Free,0.0,Everyone 10+,Arcade,2018-07-12,4.1 and up
Helix Jump,4.2,1500999,33.0,100000000,Free,0.0,Everyone,Action,2018-04-09,4.1 and up
Crossy Road,4.5,4230886,60.0,100000000,Free,0.0,Everyone,Action,2018-08-01,5.0 and up
Temple Run 2,4.3,8119154,62.0,500000000,Free,0.0,Everyone,Action,2018-07-05,4.0 and up
slither.io,4.4,5235294,,100000000,Free,0.0,Everyone,Action,2017-11-14,2.3 and up
Bowmasters,4.7,1535973,,50000000,Free,0.0,Teen,Action,2018-07-23,4.1 and up
Talking Tom Gold Run,4.6,2698889,78.0,100000000,Free,0.0,Everyone,Action,2018-07-31,4.1 and up
Zombie Catchers,4.7,990663,75.0,10000000,Free,0.0,Everyone,Action,2018-05-24,4.1 and up
Sniper 3D Gun Shooter: Free Shooting Games - FPS,4.6,7674252,,100000000,Free,0.0,Mature 17+,Action,2018-08-02,Varies with device
Swamp Attack,4.4,2119218,70.0,50000000,Free,0.0,Everyone 10+,Action,2018-06-29,4.1 and up
Earn to Die 2,4.6,1327265,99.0,50000000,Free,0.0,Teen,Racing,2017-04-12,2.3.3 and up
Miraculous Ladybug & Cat Noir - The Official Game,4.5,184210,99.0,10000000,Free,0.0,Everyone,Action,2018-07-30,4.4 and up
Kick the Buddy,4.3,1003269,,50000000,Free,0.0,Teen,Action,2018-07-05,4.4 and up
Hungry Shark World,4.5,1242855,27.0,50000000,Free,0.0,Teen,Action,2018-07-18,4.2 and up
Dude Perfect 2,4.5,401425,70.0,10000000,Free,0.0,Everyone,Action,2017-04-12,4.0.3 and up
Shadow Fight 2,4.6,10979062,88.0,100000000,Free,0.0,Everyone 10+,Action,2018-07-02,3.0 and up
Alto's Adventure,4.6,515657,63.0,10000000,Free,0.0,Everyone,Action,2018-06-05,4.0 and up
DEER HUNTER 2018,4.3,955656,82.0,10000000,Free,0.0,Teen,Action,2018-06-26,3.0 and up
DRAGON BALL LEGENDS,4.6,337913,48.0,5000000,Free,0.0,Teen,Action,2018-08-03,6.0 and up
DEAD TARGET: FPS Zombie Apocalypse Survival Games,4.5,1468591,,50000000,Free,0.0,Mature 17+,Action,2018-07-23,Varies with device
Cover Fire: offline shooting games for free,4.7,725897,31.0,10000000,Free,0.0,Teen,Action,2018-08-03,4.1 and up
Anger of stick 5 : zombie,4.5,549039,23.0,50000000,Free,0.0,Teen,Action,2018-08-03,2.3 and up
CATS: Crash Arena Turbo Stars,4.7,1559650,,50000000,Free,0.0,Everyone,Action,2018-07-09,4.1 and up
Soul Knight,4.7,292164,59.0,10000000,Free,0.0,Everyone 10+,Action,2018-08-01,4.1 and up
Major Mayhem,4.6,520962,39.0,10000000,Free,0.0,Teen,Action,2017-06-28,4.0 and up
DINO HUNTER: DEADLY SHORES,4.4,1381820,54.0,10000000,Free,0.0,Teen,Action,2017-03-14,3.0 and up
Strawberry Shortcake BerryRush,4.3,525517,48.0,10000000,Free,0.0,Everyone,Action,2017-10-15,2.3 and up
Extreme Match,4.5,696,,100000,Free,0.0,Everyone,Action,2018-07-05,4.1 and up
Power Rangers Dino Charge,4.3,194969,30.0,10000000,Free,0.0,Everyone 10+,Action,2018-01-29,4.1 and up
Zombie Hunter: Post Apocalypse Survival Games,4.4,327599,66.0,10000000,Free,0.0,Teen,Action,2017-07-28,2.3.3 and up
Agar.io,4.2,3816799,32.0,100000000,Free,0.0,Everyone,Action,2018-07-23,4.0.3 and up
Zombie Hunter King,4.3,10538,50.0,1000000,Free,0.0,Mature 17+,Action,2018-08-01,2.3 and up
Garena Free Fire,4.5,5476569,53.0,100000000,Free,0.0,Teen,Action,2018-08-03,4.0.3 and up
Battlelands Royale,4.4,105620,61.0,1000000,Free,0.0,Everyone 10+,Action,2018-07-16,4.1 and up
Once Upon a Tower,4.7,37139,49.0,1000000,Free,0.0,Everyone 10+,Action,2018-01-24,4.1 and up
TEKKEN™,4.2,147791,38.0,5000000,Free,0.0,Teen,Action,2018-07-26,5.0 and up
diep.io,4.1,347883,20.0,10000000,Free,0.0,Everyone,Action,2018-03-16,4.0.3 and up
Arrow.io,4.5,343263,,10000000,Free,0.0,Everyone 10+,Action,2018-08-06,4.0.3 and up
BEYBLADE BURST app,4.5,216849,,10000000,Free,0.0,Everyone,Action,2018-07-16,Varies with device
Dragon Hills,4.5,354373,66.0,10000000,Free,0.0,Everyone 10+,Action,2017-10-12,4.1 and up
Bus Rush: Subway Edition,4.1,753043,57.0,100000000,Free,0.0,Teen,Action,2018-08-01,4.0.3 and up
DC Super Hero Girls™,4.3,43055,95.0,5000000,Free,0.0,Everyone,Action,2018-06-29,4.0 and up
Tiny Archers,4.5,80678,,5000000,Free,0.0,Mature 17+,Action,2018-05-25,Varies with device
Metal Soldiers 2,4.4,153381,,10000000,Free,0.0,Teen,Action,2018-06-18,4.1 and up
Runner 3d like,4.5,559,32.0,100000,Free,0.0,Everyone 10+,Action,2018-08-03,4.0 and up
War Robots,4.6,3073251,33.0,50000000,Free,0.0,Everyone 10+,Action,2018-07-25,4.1 and up
Dinosaur Simulator: Dino World,4.0,26649,66.0,5000000,Free,0.0,Teen,Action,2018-08-05,4.2 and up
GUNSHIP BATTLE: Helicopter 3D,4.3,2151039,75.0,50000000,Free,0.0,Teen,Action,2018-08-01,4.0.3 and up
Quiz: Logo game,4.5,306764,29.0,10000000,Free,0.0,Everyone,Trivia,2018-08-03,4.0.3 and up
Candy Crush Saga,4.4,22430188,74.0,500000000,Free,0.0,Everyone,Casual,2018-07-05,4.1 and up
Plants vs. Zombies FREE,4.4,4067651,69.0,100000000,Free,0.0,Everyone 10+,Strategy,2018-07-06,4.1 and up
Block Puzzle,4.6,59907,7.8,5000000,Free,0.0,Everyone,Puzzle,2018-03-06,2.3 and up
Helix Jump,4.2,1500622,33.0,100000000,Free,0.0,Everyone,Action,2018-04-09,4.1 and up
8 Ball Pool,4.5,14201604,52.0,100000000,Free,0.0,Everyone,Sports,2018-07-31,4.0.3 and up
Jewels Legend - Match 3 Puzzle,4.6,280098,50.0,10000000,Free,0.0,Everyone,Arcade,2018-07-20,4.0.3 and up
Bubble Shooter,4.5,148990,46.0,10000000,Free,0.0,Everyone,Casual,2018-07-17,4.0.3 and up
Solitaire,4.7,154264,12.0,10000000,Free,0.0,Everyone,Card,2018-06-08,Varies with device
Bubble Shooter Genies,4.5,26985,41.0,5000000,Free,0.0,Everyone,Casual,2018-06-04,4.0.3 and up
Blossom Blast Saga,4.5,1125438,63.0,10000000,Free,0.0,Everyone,Casual,2018-07-05,4.0.3 and up
Traffic Racer,4.5,5387781,53.0,100000000,Free,0.0,Everyone,Racing,2018-02-27,4.1 and up
Hill Climb Racing,4.4,8923847,63.0,100000000,Free,0.0,Everyone,Racing,2018-07-02,4.2 and up
Earn to Die 2,4.6,1327269,99.0,50000000,Free,0.0,Teen,Racing,2017-04-12,2.3.3 and up
Bubble Shooter 2,4.3,23043,,5000000,Free,0.0,Everyone,Arcade,2018-07-25,4.1 and up
Candy Bomb,4.4,42145,20.0,10000000,Free,0.0,Everyone,Casual,2018-07-04,4.0.3 and up
Flow Free,4.3,1295625,11.0,100000000,Free,0.0,Everyone,Puzzle,2018-04-11,4.1 and up
Zombie Catchers,4.7,990796,75.0,10000000,Free,0.0,Everyone,Action,2018-05-24,4.1 and up
Gems or jewels ?,4.7,171448,13.0,10000000,Free,0.0,Teen,Puzzle,2018-08-03,4.0 and up
Angry Birds Rio,4.4,2610680,46.0,100000000,Free,0.0,Everyone,Arcade,2018-07-03,4.1 and up
Candy Crush Jelly Saga,4.3,1300619,78.0,50000000,Free,0.0,Everyone,Puzzle,2018-07-20,4.0 and up
Cut the Rope FULL FREE,4.4,2123793,49.0,100000000,Free,0.0,Everyone,Puzzle,2018-07-05,4.1 and up
Jewels Star: OZ adventure,4.5,21892,14.0,1000000,Free,0.0,Everyone,Puzzle,2017-12-29,4.0 and up
Hungry Shark Evolution,4.5,6074627,100.0,100000000,Free,0.0,Teen,Arcade,2018-07-25,4.1 and up
Power Pop Bubbles,4.4,104303,,10000000,Free,0.0,Everyone,Arcade,2018-08-02,4.1 and up
Angry Birds Classic,4.4,5566908,97.0,100000000,Free,0.0,Everyone,Arcade,2018-05-24,4.1 and up
Best Fiends - Free Puzzle Game,4.6,1480182,,10000000,Free,0.0,Everyone,Casual,2018-08-02,Varies with device
Hill Climb Racing 2,4.6,2750645,,100000000,Free,0.0,Everyone,Racing,2018-08-02,4.2 and up
Jewels classic Prince,4.4,47644,15.0,5000000,Free,0.0,Everyone,Puzzle,2018-06-15,4.0 and up
Fruit Block - Puzzle Legend,4.6,125647,33.0,10000000,Free,0.0,Everyone,Casual,2018-07-23,4.1 and up
Bubble Shooter Space,4.2,4355,,1000000,Free,0.0,Everyone,Casual,2017-07-17,2.3 and up
Swamp Attack,4.4,2119235,70.0,50000000,Free,0.0,Everyone 10+,Action,2018-06-29,4.1 and up
1LINE – One Line with One Touch,4.6,214878,10.0,10000000,Free,0.0,Everyone,Board,2018-08-03,4.1 and up
Stick War: Legacy,4.6,811040,77.0,10000000,Free,0.0,Teen,Strategy,2018-05-10,4.4 and up
Bowmasters,4.7,1536349,,50000000,Free,0.0,Teen,Action,2018-07-23,4.1 and up
Magic Tiles 3,4.5,592504,,50000000,Free,0.0,Everyone,Music,2018-08-03,4.1 and up
Block Puzzle Classic Legend !,4.2,17044,4.9,5000000,Free,0.0,Everyone,Puzzle,2018-04-13,2.3.3 and up
Marble Woka Woka 2018 - Bubble Shooter Match 3,4.6,155186,,10000000,Free,0.0,Everyone,Puzzle,2018-08-03,4.1 and up
Pixel Art: Color by Number Game,4.7,1125566,25.0,10000000,Free,0.0,Everyone,Puzzle,2018-07-17,4.3 and up
Score! Hero,4.6,5419676,96.0,100000000,Free,0.0,Everyone,Sports,2018-06-13,4.4 and up
Super Jabber Jump 3,4.3,34494,23.0,5000000,Free,0.0,Everyone 10+,Arcade,2018-07-11,2.3 and up
Rush,4.6,260651,51.0,10000000,Free,0.0,Everyone,Arcade,2018-02-14,4.0 and up
Jetpack Joyride,4.4,4638163,96.0,100000000,Free,0.0,Everyone 10+,Arcade,2018-07-19,4.1 and up
Zombie Tsunami,4.4,4921409,,100000000,Free,0.0,Everyone 10+,Arcade,2018-06-15,Varies with device
DEAD TARGET: FPS Zombie Apocalypse Survival Games,4.5,1468638,,50000000,Free,0.0,Mature 17+,Action,2018-07-23,Varies with device
Word Search,4.2,344585,,50000000,Free,0.0,Everyone,Word,2018-07-02,Varies with device
Farm Heroes Saga,4.4,7614407,70.0,100000000,Free,0.0,Everyone,Casual,2018-07-26,2.3 and up
Racing in Car 2,4.3,234110,38.0,50000000,Free,0.0,Everyone,Racing,2016-11-22,2.3.3 and up
Dog Run - Pet Dog Simulator,4.7,48615,24.0,10000000,Free,0.0,Everyone,Simulation,2018-05-22,4.1 and up
Rope Hero Return of a Legend,4.3,9951,96.0,1000000,Free,0.0,Mature 17+,Arcade,2016-08-26,2.3 and up
Draw a Stickman: EPIC 2 Free,4.3,213340,24.0,10000000,Free,0.0,Everyone,Adventure,2018-06-14,4.0 and up
Agar.io,4.2,3815614,32.0,100000000,Free,0.0,Everyone,Action,2018-07-23,4.0.3 and up
Angry Birds Classic,4.4,5565856,97.0,100000000,Free,0.0,Everyone,Arcade,2018-05-24,4.1 and up
UNO ™ & Friends,4.1,1728557,,50000000,Free,0.0,Everyone,Card,2017-09-20,Varies with device
4 in a Row,3.8,4257,,500000,Free,0.0,Everyone,Board,2018-05-13,Varies with device
Bubble Shooter,4.5,43576,50.0,5000000,Free,0.0,Everyone,Arcade,2017-09-13,2.3 and up
Subway Surfers,4.5,27711703,76.0,1000000000,Free,0.0,Everyone 10+,Arcade,2018-07-12,4.1 and up
Super Mario Run,3.7,1221896,70.0,100000000,Free,0.0,Everyone,Action,2018-07-12,4.2 and up
STARDOM: THE A-LIST,4.5,152658,29.0,1000000,Free,0.0,Teen,Adventure,2014-09-12,2.1 and up
Glow Hockey,4.1,1703479,,100000000,Free,0.0,Everyone,Arcade,2018-07-22,4.1 and up
Pokémon GO,4.1,10421284,85.0,100000000,Free,0.0,Everyone,Adventure,2018-07-23,4.4 and up
Asphalt 8: Airborne,4.5,8389714,92.0,100000000,Free,0.0,Teen,Racing,2018-07-04,4.0.3 and up
PAC-MAN,4.2,685450,37.0,100000000,Free,0.0,Everyone,Arcade,2018-05-15,4.1 and up
Lep's World 2 🍀🍀,4.3,798522,57.0,100000000,Free,0.0,Everyone 10+,Arcade,2018-06-07,4.1 and up
Law of Creation: A Playable Manga,4.5,13118,47.0,500000,Free,0.0,Teen,Adventure,2018-06-25,4.0.3 and up
Real City Car Driver,3.7,413609,22.0,10000000,Free,0.0,Mature 17+,Racing,2018-08-01,4.1 and up
Rolling Sky,4.5,1117212,50.0,50000000,Free,0.0,Everyone,Board,2018-08-03,4.0.3 and up
4 in a row,4.3,47698,4.1,5000000,Free,0.0,Everyone,Board,2016-04-12,1.5 and up
Four In A Line Free,4.3,133195,11.0,5000000,Free,0.0,Everyone,Board,2018-06-11,4.1 and up
Alto's Adventure,4.6,515240,63.0,10000000,Free,0.0,Everyone,Action,2018-06-05,4.0 and up
Draw A Stickman,3.4,29265,17.0,1000000,Free,0.0,Everyone,Adventure,2017-05-19,4.0.3 and up
Zombie Tsunami,4.4,4918776,,100000000,Free,0.0,Everyone 10+,Arcade,2018-06-15,Varies with device
Four In A Line,3.8,22191,3.0,1000000,Free,0.0,Everyone,Board,2015-05-04,2.3 and up
Cardi B Piano Game,3.1,50,7.4,10000,Free,0.0,Everyone,Music,2017-11-15,4.0 and up
MORTAL KOMBAT X,4.4,3039889,18.0,10000000,Free,0.0,Mature 17+,Action,2018-06-27,4.0 and up
► MultiCraft ― Free Miner! 👍,4.3,1305050,,50000000,Free,0.0,Everyone 10+,Adventure,2018-07-29,4.1 and up
Pixel Gun 3D: Survival shooter & Battle Royale,4.5,4487182,55.0,50000000,Free,0.0,Teen,Action,2018-07-04,4.0.3 and up
B-52 Spirits of Glory Deluxe,4.3,12,29.0,100,Paid,0.99,Everyone,Arcade,2017-09-02,2.3 and up
Hungry Shark Evolution,4.5,6071542,100.0,100000000,Free,0.0,Teen,Arcade,2018-07-25,4.1 and up
Perfect Piano,4.2,828489,,50000000,Free,0.0,Everyone,Music,2018-08-04,Varies with device
B-Grade Renegade,3.9,24,64.0,1000,Paid,1.99,Teen,Action,2017-10-17,3.2 and up
CURSUM B,4.286326344576117,30,26.0,500,Paid,0.99,Everyone,Racing,2017-06-20,2.3 and up
Critical Ops,4.4,1397944,50.0,10000000,Free,0.0,Teen,Action,2018-07-31,4.4 and up
Hill Climb Racing,4.4,8921451,63.0,100000000,Free,0.0,Everyone,Racing,2018-07-02,4.2 and up
Hitman Sniper,4.6,408292,29.0,10000000,Paid,0.99,Mature 17+,Action,2018-07-12,4.1 and up
FRONTLINE COMMANDO: D-DAY,4.5,1736105,14.0,10000000,Free,0.0,Mature 17+,Action,2014-05-16,2.1 and up
Fruit Ninja®,4.3,5091448,41.0,100000000,Free,0.0,Everyone,Arcade,2018-07-12,4.1 and up
Crossy Road,4.5,4229977,60.0,100000000,Free,0.0,Everyone,Action,2018-08-01,5.0 and up
Temple Run 2,4.3,8116142,62.0,500000000,Free,0.0,Everyone,Action,2018-07-05,4.0 and up
Beach Buggy Blitz,4.2,640974,47.0,50000000,Free,0.0,Everyone,Racing,2018-06-05,4.0.3 and up
Vector,4.4,3058687,89.0,100000000,Free,0.0,Everyone 10+,Arcade,2016-07-18,4.0 and up
Dr. Driving,4.5,4972230,9.9,100000000,Free,0.0,Everyone,Racing,2018-03-02,4.0.3 and up
D Day World War II Commando Survival Shooting,4.2,951,64.0,100000,Free,0.0,Teen,Action,2018-05-25,4.1 and up
Geometry Dash Meltdown,4.6,1591129,48.0,50000000,Free,0.0,Everyone,Arcade,2017-12-22,4.0 and up
Sniper 3D Gun Shooter: Free Shooting Games - FPS,4.6,7657490,,100000000,Free,0.0,Mature 17+,Action,2018-08-02,Varies with device
Bike Race Free - Top Motorcycle Racing Games,4.5,2586261,,100000000,Free,0.0,Everyone,Racing,2018-07-31,4.2 and up
Smash Hit,4.5,4147718,79.0,100000000,Free,0.0,Everyone,Arcade,2015-11-26,2.3 and up
Temple Run,4.3,4000433,42.0,100000000,Free,0.0,Everyone,Arcade,2018-08-02,4.0 and up
Super Car F. Mod for MCPE,3.6,214,4.9,50000,Free,0.0,Everyone,Adventure,2018-07-19,4.2 and up
Geometry Dash World,4.6,759838,63.0,10000000,Free,0.0,Everyone,Arcade,2017-12-22,4.0 and up
PUBG MOBILE,4.4,3697174,36.0,50000000,Free,0.0,Teen,Action,2018-07-24,4.3 and up
Gangstar Vegas - mafia game,4.5,4830407,32.0,50000000,Free,0.0,Mature 17+,Action,2018-05-25,Varies with device
Granny,4.5,1128805,59.0,50000000,Free,0.0,Teen,Arcade,2018-05-29,4.0 and up
Rolling G Sky,3.6,2065,25.0,100000,Free,0.0,Everyone,Adventure,2017-01-25,2.3.3 and up
G-Switch 2,4.4,12683,19.0,1000000,Free,0.0,Everyone,Action,2018-02-05,2.3 and up
G-Switch 3,4.6,3656,39.0,100000,Free,0.0,Everyone,Action,2018-03-15,3.0 and up
G-Switch,3.8,4116,8.8,100000,Free,0.0,Everyone,Action,2015-09-01,2.3 and up
Radial-G : Infinity,3.6,517,47.0,50000,Free,0.0,Everyone,Arcade,2015-12-07,4.1 and up
Helix Jump,4.2,1485806,33.0,100000000,Free,0.0,Everyone,Action,2018-04-09,4.1 and up
Geometry Dash Lite,4.5,6181640,58.0,100000000,Free,0.0,Everyone,Arcade,2017-12-22,4.0 and up
Car Driving Simulator Drift,4.4,19816,57.0,1000000,Free,0.0,Everyone,Racing,2017-11-03,4.4 and up
The World Ends With You,4.6,4108,13.0,10000,Paid,17.99,Everyone 10+,Arcade,2015-12-14,4.0 and up
RC City Police Heavy Traffic Racer,4.4,3250,27.0,1000000,Free,0.0,Everyone,Racing,2018-07-19,4.0 and up
D+H Reaction Wall,4.286326344576117,0,,1,Paid,0.99,Everyone,Arcade,2016-07-24,Varies with device
Motorbike Driving Simulator 3D,3.9,178723,65.0,10000000,Free,0.0,Everyone,Racing,2016-12-25,2.3.3 and up
Helix,3.9,2454,37.0,500000,Free,0.0,Everyone,Arcade,2017-09-10,4.0 and up
slither.io,4.4,5231553,,100000000,Free,0.0,Everyone,Action,2017-11-14,2.3 and up
Solitaire!,4.7,403911,23.0,10000000,Free,0.0,Everyone,Card,2018-06-24,4.1 and up
iGun Pro -The Original Gun App,4.2,249308,55.0,10000000,Free,0.0,Everyone,Arcade,2017-09-07,2.3 and up
Sonic Dash,4.5,3777822,75.0,100000000,Free,0.0,Everyone,Arcade,2018-07-26,4.1 and up
NinJump,4.3,421000,36.0,10000000,Free,0.0,Everyone,Arcade,2018-06-13,4.1 and up
Zombie Catchers,4.7,989158,75.0,10000000,Free,0.0,Everyone,Action,2018-05-24,4.1 and up
Fidget Spinner,4.2,307398,9.9,10000000,Free,0.0,Everyone,Arcade,2017-11-30,2.1 and up
Jetpack Joyride,4.4,4637439,96.0,100000000,Free,0.0,Everyone 10+,Arcade,2018-07-19,4.1 and up
Anger of stick 5 : zombie,4.5,547644,23.0,50000000,Free,0.0,Teen,Action,2018-08-03,2.3 and up
J Balvin Piano Tiles,4.286326344576117,6,30.0,500,Free,0.0,Everyone,Music,2018-05-15,4.1 and up
Guess the song of J Balvin,4.286326344576117,28,8.9,1000,Free,0.0,Everyone,Trivia,2017-12-24,4.1 and up
J-Stars Victory VS Guide,4.1,609,13.0,10000,Free,0.0,Everyone,Action,2014-05-14,2.2 and up
KIM KARDASHIAN: HOLLYWOOD,4.3,1017408,34.0,10000000,Free,0.0,Teen,Adventure,2018-07-16,4.0 and up
Magic Tiles - TWICE Edition (K-Pop),4.4,2351,62.0,100000,Free,0.0,Everyone,Music,2018-07-25,4.0 and up
Magic Tiles - Blackpink Edition (K-Pop),4.6,4304,71.0,100000,Free,0.0,Everyone,Music,2018-06-20,4.0 and up
Korean Dungeon: K-Word 1000,4.7,703,40.0,10000,Free,0.0,Everyone 10+,Word,2017-11-17,4.1 and up
Talking Tom Gold Run,4.6,2694969,78.0,100000000,Free,0.0,Everyone,Action,2018-07-31,4.1 and up
Lep's World 🍀,4.3,696019,,50000000,Free,0.0,Everyone 10+,Arcade,2018-05-26,4.1 and up
Last Day on Earth: Survival,4.5,2308916,87.0,10000000,Free,0.0,Teen,Action,2018-08-01,4.1 and up
Ant Smasher by Best Cool & Fun Games,4.2,1185148,29.0,100000000,Free,0.0,Everyone,Arcade,2018-08-01,4.0.3 and up
Cheating Tom 3 - Genius School,4.3,90415,84.0,10000000,Free,0.0,Everyone,Arcade,2018-07-24,4.1 and up
M3-X5-X6-M-İ3-İ8 RACİNG 2018,4.4,596,44.0,100000,Free,0.0,Everyone,Arcade,2017-02-12,4.0 and up
M-acceleration 3D Car Racing,3.9,1202,34.0,100000,Free,0.0,Everyone,Racing,2018-06-28,4.1 and up
Super Hero M Craft Run,3.7,303,38.0,100000,Free,0.0,Everyone,Arcade,2017-07-12,4.0.3 and up
Don't Hug Me I'm So Scared,3.5,901,63.0,50000,Free,0.0,Everyone,Adventure,2018-06-08,2.3 and up
Rope'n'Fly 4,4.1,234606,59.0,10000000,Free,0.0,Everyone,Action,2018-01-29,2.3 and up
Cops N Robbers - FPS Mini Game,4.2,156862,64.0,5000000,Free,0.0,Everyone 10+,Action,2018-07-31,4.1 and up
Cops N Robbers 2,4.1,63680,46.0,1000000,Free,0.0,Everyone 10+,Adventure,2018-06-02,4.1 and up
Hide N Seek : Mini Game,3.8,4719,54.0,500000,Free,0.0,Everyone,Action,2018-07-08,4.1 and up
Rope'n'Fly 3 - Dusk Till Dawn,4.0,166033,23.0,10000000,Free,0.0,Everyone 10+,Arcade,2018-01-31,2.3 and up
Drag'n'Boom,4.8,133180,54.0,1000000,Free,0.0,Everyone 10+,Arcade,2018-01-12,4.4 and up
Traps n' Gemstones,4.5,413,9.1,1000,Paid,4.99,Everyone,Adventure,2017-05-17,4.0.3 and up
Cops N Robbers,4.0,37789,58.0,1000000,Free,0.0,Teen,Adventure,2018-06-06,4.1 and up
Ghosts'n Goblins MOBILE,3.8,466,28.0,10000,Paid,0.99,Everyone,Arcade,2017-03-28,4.1 and up
Mopar Drag N Brag,4.2,30630,17.0,1000000,Free,0.0,Everyone,Racing,2015-05-25,4.1 and up
Draw N Guess Multiplayer,3.9,29505,69.0,1000000,Free,0.0,Everyone,Word,2018-04-04,4.0.3 and up
Lock 'n' Roll Pro - Ad Free,4.6,169,13.0,1000,Paid,0.99,Everyone,Card,2015-07-01,2.3.3 and up
Rock N' Cash Casino Slots -Free Vegas Slot Games,4.7,6187,33.0,100000,Free,0.0,Teen,Casino,2018-07-27,4.0.3 and up
Rock n Roll Music Quiz Game,3.7,80,7.6,10000,Free,0.0,Everyone,Trivia,2018-06-06,4.1 and up
Jump'N'Shoot Attack,4.1,155,32.0,1000,Paid,2.49,Everyone,Arcade,2018-05-26,4.1 and up
Ghouls'n Ghosts MOBILE,3.9,168,49.0,5000,Paid,1.99,Everyone 10+,Arcade,2017-05-18,4.1 and up
Oddworld: New 'n' Tasty,4.6,1475,34.0,10000,Paid,4.99,Teen,Action,2018-01-02,5.0 and up
Obbligo o Verità? PRO,4.286326344576117,4,2.9,100,Paid,0.99,Teen,Board,2018-04-26,3.0 and up
Drink-O-Tron The Drinking Game,4.1,140,45.0,50000,Free,0.0,Mature 17+,Card,2017-05-31,4.0.3 and up
The Maze Runner,4.0,428268,22.0,10000000,Free,0.0,Everyone,Action,2015-09-14,2.3 and up
The Q - Live Trivia Game Network,2.7,1486,14.0,100000,Free,0.0,Everyone,Trivia,2018-08-03,5.0 and up
Q*bert: Rebooted,4.3,13788,55.0,1000000,Free,0.0,Everyone,Arcade,2017-04-01,4.4 and up
Gun Shoot War Q,4.2,26893,20.0,1000000,Free,0.0,Teen,Arcade,2017-03-01,2.3 and up
DJMAX TECHNIKA Q - Music Game,4.3,21107,95.0,100000,Free,0.0,Everyone,Music,2018-07-30,4.0.3 and up
R-TYPE II,4.3,5682,37.0,50000,Paid,1.99,Everyone,Arcade,2017-03-02,2.3.3 and up
R-TYPE,4.5,7687,23.0,100000,Paid,1.99,Everyone,Arcade,2017-02-27,2.3.3 and up
Stupid Zombies,4.5,464900,33.0,10000000,Free,0.0,Teen,Arcade,2018-06-27,4.2 and up
Crime Wars S. Andreas,4.3,5785,93.0,500000,Free,0.0,Teen,Racing,2017-04-12,2.3 and up
Dino T-Rex,4.0,69115,2.4,10000000,Free,0.0,Everyone,Arcade,2018-06-13,4.1 and up
Don't Starve: Pocket Edition,4.4,17988,7.9,100000,Paid,4.99,Teen,Adventure,2018-07-25,5.0 and up
Don't Starve: Shipwrecked,4.1,1468,4.9,10000,Paid,4.99,Teen,Adventure,2018-07-10,5.0 and up
Ludo - Don't get angry,4.2,131,23.0,1000,Paid,1.61,Everyone,Board,2016-02-24,2.3.3 and up
U-48 Submarine Commander Free,3.5,4575,3.8,500000,Free,0.0,Everyone,Arcade,2017-10-07,4.0.3 and up
Identity V,4.2,109263,38.0,1000000,Free,0.0,Teen,Action,2018-07-10,4.1 and up
V for Voodoo,4.2,16876,59.0,1000000,Free,0.0,Teen,Trivia,2018-06-28,6.0 and up
